id n_ind mle species temp hour mle_bias
CCF_Stool_Chin_953 1 1 CCF 18.5 96 0
CCF_Stool_Chin_954 1 2 CCF 18.5 96 1
CCF_Stool_Chin_958 1 1 CCF 15.5 96 0
CCF_Stool_Chin_960 1 2 CCF 15.5 96 1
CCF_Stool_Chin_968 1 1 CCF 15.5 120 0
CCF_Stool_Chin_969 1 2 CCF 15.5 120 1
CCF_Stool_Chin_982 1 1 CCF 15.5 84 0
CCF_Stool_Chin_999 1 2 CCF 18.5 60 1
LMB_Stool_Chin_693 3 1 LMB 18.5 60 -2
LMB_Stool_Chin_711 3 1 LMB 15.5 72 -2
LMB_Stool_Chin_717 3 1 LMB 15.5 84 -2
LMB_Stool_Chin_727 3 1 LMB 15.5 6 -2
LMB_Stool_Chin_759 1 1 LMB 18.5 6 0
LMB_Stool_Chin_770 1 1 LMB 15.5 6 0
LMB_Stool_Chin_776 1 2 LMB 18.5 12 1
LMB_Stool_Chin_804 1 1 LMB 15.5 36 0
LMB_Stool_Chin_812 1 1 LMB 15.5 48 0
LMB_Stool_Chin_833 1 1 LMB 15.5 72 0
LMB_Stool_Chin_838 1 1 LMB 18.5 84 0
LMB_Stool_Chin_846 1 2 LMB 15.5 84 1
LMB_Stool_Chin_855 1 1 LMB 15.5 96 0
LMB_Stool_Chin_862 3 1 LMB 18.5 12 -2
LMB_Stool_Chin_866 3 1 LMB 15.5 12 -2
LMB_Stool_Chin_876 3 1 LMB 15.5 24 -2
LMB_Stool_Chin_882 3 1 LMB 18.5 36 -2
LMB_Stool_Chin_886 3 2 LMB 15.5 36 -1
LMB_Stool_Chin_922 3 2 LMB 18.5 72 -1
CCF_Stool_Chin_1000 1 1 CCF 18.5 60 0
CCF_Stool_Chin_1010 1 1 CCF 18.5 48 0
CCF_Stool_Chin_1039 1 1 CCF 18.5 6 0
CCF_Stool_Chin_1064 1 1 CCF 15.5 24 0
CCF_Stool_Chin_1081 3 1 CCF 15.5 96 -2
CCF_Stool_Chin_1099 3 1 CCF 18.5 24 -2
CCF_Stool_Chin_1120 3 1 CCF 18.5 60 -2
CCF_Stool_Chin_1135 3 1 CCF 15.5 36 -2
CCF_Stool_Chin_1141 3 1 CCF 15.5 48 -2
CCF_Stool_Chin_1152 3 1 CCF 18.5 48 -2
CCF_Stool_Chin_1157 3 1 CCF 18.5 72 -2
CCF_Stool_Chin_970 1 1 CCF 15.5 120 0
CCF_Stool_Chin_977 1 1 CCF 18.5 84 0
CCF_Stool_Chin_981 1 1 CCF 15.5 84 0
CCF_Stool_Chin_993 1 1 CCF 15.5 12 0
LMB_Stool_Chin_539 1 1 LMB 18.5 24 0
LMB_Stool_Chin_655 3 1 LMB 15.5 12 -2
LMB_Stool_Chin_672 3 1 LMB 18.5 24 -2
LMB_Stool_Chin_679 3 1 LMB 15.5 36 -2
LMB_Stool_Chin_682 3 1 LMB 18.5 120 -2
LMB_Stool_Chin_691 3 1 LMB 15.5 120 -2
LMB_Stool_Chin_694 3 1 LMB 18.5 60 -2
LMB_Stool_Chin_709 3 1 LMB 15.5 72 -2
LMB_Stool_Chin_739 3 1 LMB 15.5 96 -2
LMB_Stool_Chin_740 3 1 LMB 15.5 96 -2
LMB_Stool_Chin_744 1 1 LMB 18.5 120 0
LMB_Stool_Chin_748_MISSING 1 1 LMB 18.5 120 0
LMB_Stool_Chin_755 1 1 LMB 15.5 120 0
LMB_Stool_Chin_757 1 1 LMB 15.5 120 0
LMB_Stool_Chin_761 1 1 LMB 18.5 6 0
LMB_Stool_Chin_769 1 1 LMB 15.5 6 0
LMB_Stool_Chin_772 1 1 LMB 18.5 12 0
LMB_Stool_Chin_787 1 1 LMB 18.5 24 0
LMB_Stool_Chin_788 1 1 LMB 18.5 24 0
LMB_Stool_Chin_791 1 1 LMB 15.5 24 0
LMB_Stool_Chin_794 1 1 LMB 15.5 24 0
LMB_Stool_Chin_795 1 1 LMB 18.5 36 0
