Sample_ID,Sample_Plate,Sample_Well,species,temp,smolt,hour
LMB_Stool_Chin_702,LMBStomachs_02,C09,LMB,18.5,3,72
LMB_Stool_Chin_703,LMBStomachs_02,D09,LMB,18.5,3,72
LMB_Stool_Chin_704,LMBStomachs_02,E09,LMB,18.5,3,96
LMB_Stool_Chin_705,LMBStomachs_02,F09,LMB,18.5,3,72
LMB_Stool_Chin_706,LMBStomachs_02,G09,LMB,18.5,3,72
LMB_Stool_Chin_707,LMBStomachs_02,H09,LMB,15.5,3,72
LMB_Stool_Chin_708,LMBStomachs_02,A10,LMB,15.5,3,72
LMB_Stool_Chin_709,LMBStomachs_02,B10,LMB,15.5,3,72
LMB_Stool_Chin_710,LMBStomachs_02,C10,LMB,15.5,3,72
LMB_Stool_Chin_711,LMBStomachs_02,D10,LMB,15.5,3,72
LMB_Stool_Chin_712,LMBStomachs_02,E10,LMB,18.5,3,84
LMB_Stool_Chin_713,LMBStomachs_02,F10,LMB,18.5,3,84
LMB_Stool_Chin_714,LMBStomachs_02,G10,LMB,18.5,3,84
LMB_Stool_Chin_715,LMBStomachs_02,H10,LMB,18.5,3,84
LMB_Stool_Chin_716,LMBStomachs_02,A11,LMB,18.5,3,84
LMB_Stool_Chin_717,LMBStomachs_02,B11,LMB,15.5,3,84
LMB_Stool_Chin_718,LMBStomachs_02,C11,LMB,15.5,3,84
LMB_Stool_Chin_719,LMBStomachs_02,D11,LMB,15.5,3,84
LMB_Stool_Chin_720,LMBStomachs_02,E11,LMB,15.5,3,84
LMB_Stool_Chin_721,LMBStomachs_02,F11,LMB,15.5,3,84
LMB_Stool_Chin_722,LMBStomachs_02,G11,LMB,18.5,3,6
LMB_Stool_Chin_723,LMBStomachs_02,H11,LMB,18.5,3,6
LMB_Stool_Chin_724,LMBStomachs_02,A12,LMB,18.5,3,6
LMB_Stool_Chin_725,LMBStomachs_02,B12,LMB,18.5,3,6
LMB_Stool_Chin_726,LMBStomachs_02,C12,LMB,18.5,3,6
LMB_Stool_Chin_727,LMBStomachs_02,D12,LMB,15.5,3,6
LMB_Stool_Chin_728,LMBStomachs_02,E12,LMB,15.5,3,6
LMB_Stool_Chin_729,LMBStomachs_02,F12,LMB,15.5,3,6
LMB_Stool_Chin_730,LMBStomachs_02,G12,LMB,15.5,3,6
LMB_Stool_Chin_731,LMBStomachs_17,A01,LMB,15.5,3,6
LMB_Stool_Chin_732,LMBStomachs_17,B01,LMB,18.5,3,72
LMB_Stool_Chin_733,LMBStomachs_17,C01,LMB,18.5,3,96
LMB_Stool_Chin_734,LMBStomachs_17,D01,LMB,18.5,3,96
LMB_Stool_Chin_735,LMBStomachs_17,E01,LMB,18.5,3,96
LMB_Stool_Chin_736,LMBStomachs_17,F01,LMB,18.5,3,96
LMB_Stool_Chin_737,LMBStomachs_17,G01,LMB,15.5,3,96
LMB_Stool_Chin_738,LMBStomachs_17,H01,LMB,15.5,3,96
LMB_Stool_Chin_739,LMBStomachs_17,A02,LMB,15.5,3,96
LMB_Stool_Chin_740,LMBStomachs_17,B02,LMB,15.5,3,96
LMB_Stool_Chin_741,LMBStomachs_17,C02,LMB,15.5,3,96
LMB_Stool_Chin_742,LMBStomachs_17,D02,LMB,18.5,3,48
LMB_Stool_Chin_744,LMBStomachs_17,E02,LMB,18.5,1,120
LMB_Stool_Chin_745,LMBStomachs_17,F02,LMB,18.5,1,120
LMB_Stool_Chin_746,LMBStomachs_17,G02,LMB,18.5,1,120
LMB_Stool_Chin_748_MISSING,LMBStomachs_17,H02,LMB,18.5,1,120
LMB_Stool_Chin_751,LMBStomachs_17,A03,LMB,18.5,1,120
